27.9564 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1EEA30F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
27.9565 	EXP 	window1: recordFrameIntervals = False
28.1213 	EXP 	window1: recordFrameIntervals = True
28.3059 	EXP 	window1: recordFrameIntervals = False
28.6836 	EXP 	Created wel_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='wel_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
28.6892 	EXP 	Created image_practice = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_practice', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
28.7169 	EXP 	Created point_prac = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_prac', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
28.7818 	EXP 	Created text_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='text_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
28.7888 	EXP 	Created huan_point = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='huan_point', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
28.7932 	EXP 	Created image_huan = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_huan', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
28.8002 	EXP 	Created point_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
28.8050 	EXP 	Created image_base = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_base', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
28.8117 	EXP 	Created point_for = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_for', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
28.8166 	EXP 	Created image_for = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_for', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
28.8377 	EXP 	wel_text: autoDraw = True
40.2016 	DATA 	Keypress: space
40.2251 	EXP 	Imported pic\prac_click.csv as conditions, 47 conditions, 4 params
40.2270 	EXP 	Created sequence: random, trialTypes=47, nReps=1, seed=None
40.2288 	EXP 	New trial (rep=0, index=0): OrderedDict([('no', 20), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
40.3209 	EXP 	wel_text: autoDraw = False
40.3209 	EXP 	image_practice: image = u'pic/2.png'
40.3209 	EXP 	point_prac: autoDraw = True
41.2350 	EXP 	point_prac: autoDraw = False
41.3415 	EXP 	image_practice: autoDraw = True
41.9872 	DATA 	Keypress: num_2
41.9915 	EXP 	New trial (rep=0, index=1): OrderedDict([('no', 28), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
42.0763 	EXP 	image_practice: autoDraw = False
42.0763 	EXP 	point_prac: autoDraw = False
42.0763 	EXP 	image_practice: image = u'pic/1.png'
42.0763 	EXP 	point_prac: autoDraw = True
43.0034 	EXP 	point_prac: autoDraw = False
43.0201 	EXP 	image_practice: autoDraw = True
43.5719 	DATA 	Keypress: num_1
43.5752 	EXP 	New trial (rep=0, index=2): OrderedDict([('no', 21), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
43.6642 	EXP 	image_practice: autoDraw = False
43.6642 	EXP 	point_prac: autoDraw = False
43.6642 	EXP 	image_practice: image = u'pic/3.png'
43.6642 	EXP 	point_prac: autoDraw = True
44.5883 	EXP 	point_prac: autoDraw = False
44.6050 	EXP 	image_practice: autoDraw = True
45.1085 	DATA 	Keypress: num_3
45.1261 	EXP 	New trial (rep=0, index=3): OrderedDict([('no', 24), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
45.2134 	EXP 	image_practice: autoDraw = False
45.2134 	EXP 	point_prac: autoDraw = False
45.2134 	EXP 	image_practice: image = u'pic/6.png'
45.2134 	EXP 	point_prac: autoDraw = True
46.1399 	EXP 	point_prac: autoDraw = False
46.1566 	EXP 	image_practice: autoDraw = True
46.6258 	DATA 	Keypress: num_6
46.6294 	EXP 	New trial (rep=0, index=4): OrderedDict([('no', 6), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
46.7103 	EXP 	image_practice: autoDraw = False
46.7103 	EXP 	point_prac: autoDraw = False
46.7103 	EXP 	image_practice: image = u'pic/6.png'
46.7103 	EXP 	point_prac: autoDraw = True
47.6432 	EXP 	point_prac: autoDraw = False
47.6590 	EXP 	image_practice: autoDraw = True
48.1430 	DATA 	Keypress: num_6
48.1472 	EXP 	New trial (rep=0, index=5): OrderedDict([('no', 19), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
48.2499 	EXP 	image_practice: autoDraw = False
48.2499 	EXP 	point_prac: autoDraw = False
48.2499 	EXP 	image_practice: image = u'pic/1.png'
48.2499 	EXP 	point_prac: autoDraw = True
49.1591 	EXP 	point_prac: autoDraw = False
49.1757 	EXP 	image_practice: autoDraw = True
49.7615 	DATA 	Keypress: num_1
49.7648 	EXP 	New trial (rep=0, index=6): OrderedDict([('no', 8), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
49.8674 	EXP 	image_practice: autoDraw = False
49.8674 	EXP 	point_prac: autoDraw = False
49.8674 	EXP 	image_practice: image = u'pic/8.png'
49.8674 	EXP 	point_prac: autoDraw = True
50.7772 	EXP 	point_prac: autoDraw = False
50.7941 	EXP 	image_practice: autoDraw = True
51.2634 	DATA 	Keypress: num_8
51.2667 	EXP 	New trial (rep=0, index=7): OrderedDict([('no', 25), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
51.3518 	EXP 	image_practice: autoDraw = False
51.3518 	EXP 	point_prac: autoDraw = False
51.3518 	EXP 	image_practice: image = u'pic/7.png'
51.3518 	EXP 	point_prac: autoDraw = True
52.2793 	EXP 	point_prac: autoDraw = False
52.2960 	EXP 	image_practice: autoDraw = True
52.7978 	DATA 	Keypress: num_7
52.8011 	EXP 	New trial (rep=0, index=8): OrderedDict([('no', 3), ('pic', u'pic/3.png'), ('cla', u'practice'), ('ans', ['num_3'])])
52.9048 	EXP 	image_practice: autoDraw = False
52.9048 	EXP 	point_prac: autoDraw = False
52.9048 	EXP 	image_practice: image = u'pic/3.png'
52.9048 	EXP 	point_prac: autoDraw = True
53.8143 	EXP 	point_prac: autoDraw = False
53.8310 	EXP 	image_practice: autoDraw = True
54.3676 	DATA 	Keypress: num_3
54.3714 	EXP 	New trial (rep=0, index=9): OrderedDict([('no', 32), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
54.4687 	EXP 	image_practice: autoDraw = False
54.4687 	EXP 	point_prac: autoDraw = False
54.4687 	EXP 	image_practice: image = u'pic/5.png'
54.4687 	EXP 	point_prac: autoDraw = True
55.3824 	EXP 	point_prac: autoDraw = False
55.3992 	EXP 	image_practice: autoDraw = True
55.9018 	DATA 	Keypress: num_5
55.9055 	EXP 	New trial (rep=0, index=10): OrderedDict([('no', 26), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
56.0116 	EXP 	image_practice: autoDraw = False
56.0116 	EXP 	point_prac: autoDraw = False
56.0116 	EXP 	image_practice: image = u'pic/8.png'
56.0116 	EXP 	point_prac: autoDraw = True
56.9173 	EXP 	point_prac: autoDraw = False
56.9340 	EXP 	image_practice: autoDraw = True
57.4206 	DATA 	Keypress: num_8
57.4393 	EXP 	New trial (rep=0, index=11): OrderedDict([('no', 43), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
57.5300 	EXP 	image_practice: autoDraw = False
57.5300 	EXP 	point_prac: autoDraw = False
57.5300 	EXP 	image_practice: image = u'pic/7.png'
57.5300 	EXP 	point_prac: autoDraw = True
58.4516 	EXP 	point_prac: autoDraw = False
58.4686 	EXP 	image_practice: autoDraw = True
59.0044 	DATA 	Keypress: num_7
59.0078 	EXP 	New trial (rep=0, index=12): OrderedDict([('no', 7), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
59.0951 	DATA 	Keypress: num_4
59.1022 	EXP 	image_practice: autoDraw = False
59.1022 	EXP 	point_prac: autoDraw = False
59.1022 	EXP 	image_practice: image = u'pic/7.png'
59.1022 	EXP 	point_prac: autoDraw = True
60.0212 	EXP 	point_prac: autoDraw = False
60.0370 	EXP 	image_practice: autoDraw = True
60.8566 	DATA 	Keypress: num_7
60.8604 	EXP 	New trial (rep=0, index=13): OrderedDict([('no', 11), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
60.9537 	EXP 	image_practice: autoDraw = False
60.9537 	EXP 	point_prac: autoDraw = False
60.9537 	EXP 	image_practice: image = u'pic/2.png'
60.9537 	EXP 	point_prac: autoDraw = True
61.8723 	EXP 	point_prac: autoDraw = False
61.8889 	EXP 	image_practice: autoDraw = True
62.4243 	DATA 	Keypress: num_2
62.4281 	EXP 	New trial (rep=0, index=14): OrderedDict([('no', 23), ('pic', u'pic/5.png'), ('cla', u'practice'), ('ans', ['num_5'])])
62.5185 	EXP 	image_practice: autoDraw = False
62.5185 	EXP 	point_prac: autoDraw = False
62.5185 	EXP 	image_practice: image = u'pic/5.png'
62.5185 	EXP 	point_prac: autoDraw = True
63.4405 	EXP 	point_prac: autoDraw = False
63.4572 	EXP 	image_practice: autoDraw = True
63.9089 	DATA 	Keypress: num_5
63.9124 	EXP 	New trial (rep=0, index=15): OrderedDict([('no', 27), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
64.0110 	EXP 	image_practice: autoDraw = False
64.0110 	EXP 	point_prac: autoDraw = False
64.0110 	EXP 	image_practice: image = u'pic/9.png'
64.0110 	EXP 	point_prac: autoDraw = True
64.9253 	EXP 	point_prac: autoDraw = False
64.9420 	EXP 	image_practice: autoDraw = True
65.5113 	DATA 	Keypress: num_9
