31.1602 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1F0430F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
31.1604 	EXP 	window1: recordFrameIntervals = False
31.3258 	EXP 	window1: recordFrameIntervals = True
31.5100 	EXP 	window1: recordFrameIntervals = False
31.8860 	EXP 	Created wel_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='wel_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
31.8912 	EXP 	Created image_practice = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_practice', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
31.9177 	EXP 	Created point_prac = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_prac', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
31.9737 	EXP 	Created text_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='text_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
31.9793 	EXP 	Created huan_point = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='huan_point', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
31.9830 	EXP 	Created image_huan = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_huan', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
31.9889 	EXP 	Created point_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
31.9928 	EXP 	Created image_base = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_base', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
31.9984 	EXP 	Created point_for = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_for', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
32.0025 	EXP 	Created image_for = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_for', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
32.0185 	EXP 	wel_text: autoDraw = True
51.7641 	DATA 	Keypress: space
51.7900 	EXP 	Imported pic\prac_click.csv as conditions, 47 conditions, 4 params
51.7921 	EXP 	Created sequence: random, trialTypes=47, nReps=1, seed=None
51.7937 	EXP 	New trial (rep=0, index=0): OrderedDict([('no', 13), ('pic', u'pic/4.png'), ('cla', u'practice'), ('ans', ['num_4'])])
51.8846 	EXP 	wel_text: autoDraw = False
51.8846 	EXP 	image_practice: image = u'pic/4.png'
51.8846 	EXP 	point_prac: autoDraw = True
52.9201 	EXP 	image_practice: autoDraw = True
52.9201 	EXP 	point_prac: autoDraw = False
53.8001 	DATA 	Keypress: num_4
53.8044 	EXP 	New trial (rep=0, index=1): OrderedDict([('no', 29), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
53.8858 	EXP 	image_practice: autoDraw = False
53.8858 	EXP 	point_prac: autoDraw = False
53.8858 	EXP 	image_practice: image = u'pic/2.png'
53.8858 	EXP 	point_prac: autoDraw = True
54.8153 	EXP 	point_prac: autoDraw = False
54.8324 	EXP 	image_practice: autoDraw = True
55.5536 	DATA 	Keypress: num_2
55.5711 	EXP 	New trial (rep=0, index=2): OrderedDict([('no', 8), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
55.6680 	EXP 	image_practice: autoDraw = False
55.6680 	EXP 	point_prac: autoDraw = False
55.6680 	EXP 	image_practice: image = u'pic/8.png'
55.6680 	EXP 	point_prac: autoDraw = True
56.5841 	EXP 	point_prac: autoDraw = False
56.6006 	EXP 	image_practice: autoDraw = True
57.4696 	DATA 	Keypress: num_8
57.4729 	EXP 	New trial (rep=0, index=3): OrderedDict([('no', 45), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
57.5676 	EXP 	image_practice: autoDraw = False
57.5676 	EXP 	point_prac: autoDraw = False
57.5676 	EXP 	image_practice: image = u'pic/9.png'
57.5676 	EXP 	point_prac: autoDraw = True
58.4859 	EXP 	point_prac: autoDraw = False
58.5026 	EXP 	image_practice: autoDraw = True
59.2387 	DATA 	Keypress: num_9
59.2425 	EXP 	New trial (rep=0, index=4): OrderedDict([('no', 10), ('pic', u'pic/1.png'), ('cla', u'practice'), ('ans', ['num_1'])])
59.3438 	EXP 	image_practice: autoDraw = False
59.3438 	EXP 	point_prac: autoDraw = False
59.3438 	EXP 	image_practice: image = u'pic/1.png'
59.3438 	EXP 	point_prac: autoDraw = True
60.2544 	EXP 	point_prac: autoDraw = False
60.2716 	EXP 	image_practice: autoDraw = True
60.9398 	DATA 	Keypress: num_1
60.9435 	EXP 	New trial (rep=0, index=5): OrderedDict([('no', 46), ('pic', u'pic/8.png'), ('cla', u'practice'), ('ans', ['num_8'])])
