no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
19,pic/1.png,baseline,['num_1'],,,,,,,,,0,0,0,18,,,,,num_8,0,0.486253500014,num_2,0.535784599982,num_1,0.4839507,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
17,pic/8.png,baseline,['num_8'],,,,,,,,,0,1,1,16,,,,,,,,,,num_8,0.469134499988,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
3,pic/3.png,baseline,['num_3'],,,,,,,,,0,2,2,2,,,,,,,,,,num_3,0.519414699986,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
20,pic/2.png,baseline,['num_2'],,,,,,,,,0,3,3,19,,,,,,,,,,num_2,0.518997700012,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
25,pic/7.png,baseline,['num_7'],,,,,,,,,0,4,4,24,,,,,,,,,,num_7,0.570036199992,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
6,pic/6.png,baseline,['num_6'],,,,,,,,,0,5,5,5,,,,,,,,,,num_6,0.469947800011,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
1,pic/1.png,baseline,['num_1'],,,,,,,,,0,6,6,0,,,,,,,,,,num_1,0.519245700008,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
2,pic/2.png,baseline,['num_2'],,,,,,,,,0,7,7,1,,,,,,,,,,num_2,0.603105199989,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
27,pic/9.png,baseline,['num_9'],,,,,,,,,0,8,8,26,,,,,,,,,,num_9,0.5366202,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,9,9,7,,,,,,,,,,num_8,0.535864500009,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
18,pic/9.png,baseline,['num_9'],,,,,,,,,0,10,10,17,,,,,,,,,,num_9,0.588011000014,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
12,pic/3.png,baseline,['num_3'],,,,,,,,,0,11,11,11,,,,,,,,,,num_3,0.602419600007,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
14,pic/5.png,baseline,['num_5'],,,,,,,,,0,12,12,13,,,,,,,,,,num_5,0.468961099978,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
5,pic/5.png,baseline,['num_5'],,,,,,,,,0,13,13,4,,,,,,,,,,num_5,0.485748100007,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
10,pic/1.png,baseline,['num_1'],,,,,,,,,0,14,14,9,,,,,,,,,,num_1,0.552384299983,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
15,pic/6.png,baseline,['num_6'],,,,,,,,,0,15,15,14,,,,,,,,,,num_6,0.435942700016,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
4,pic/4.png,baseline,['num_4'],,,,,,,,,0,16,16,3,,,,,,,,,,num_4,0.536207999976,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
21,pic/3.png,baseline,['num_3'],,,,,,,,,0,17,17,20,,,,,,,,,,num_3,0.586578999995,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
9,pic/9.png,baseline,['num_9'],,,,,,,,,0,18,18,8,,,,,,,,,,num_9,0.569161099993,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
7,pic/7.png,baseline,['num_7'],,,,,,,,,0,19,19,6,,,,,,,,,,num_7,0.5696856,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
23,pic/5.png,baseline,['num_5'],,,,,,,,,0,20,20,22,,,,,,,,,,num_5,0.519228599995,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
24,pic/6.png,baseline,['num_6'],,,,,,,,,0,21,21,23,,,,,,,,,,num_6,0.435946000012,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
11,pic/2.png,baseline,['num_2'],,,,,,,,,0,22,22,10,,,,,,,,,,num_2,0.585876900004,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
16,pic/7.png,baseline,['num_7'],,,,,,,,,0,23,23,15,,,,,,,,,,num_7,0.653217500017,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
13,pic/4.png,baseline,['num_4'],,,,,,,,,0,24,24,12,,,,,,,,,,num_4,0.503069900005,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
26,pic/8.png,baseline,['num_8'],,,,,,,,,0,25,25,25,,,,,,,,,,num_8,0.569236599986,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
22,pic/4.png,baseline,['num_4'],,,,,,,,,0,26,26,21,,,,,,,,,,num_4,0.419084200024,,,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
1,pic/8.png,aa,['num_8'],,,,,,,,,,,,,0,0,0,0,,,,,,,,num_8,0.445762699994,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
2,pic/8.png,aa,['num_8'],,,,,,,,,,,,,0,1,1,1,,,,,,,,num_8,0.436449600005,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
3,pic/5.png,aa,['num_5'],,,,,,,,,,,,,0,2,2,2,,,,,,,,num_5,0.534697499999,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
4,pic/5.png,aa,['num_5'],,,,,,,,,,,,,0,3,3,3,,,,,,,,num_5,0.385652199999,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
5,pic/4.png,aa,['num_4'],,,,,,,,,,,,,0,4,4,4,,,,,,,,num_4,0.419386300026,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
6,pic/4.png,aa,['num_4'],,,,,,,,,,,,,0,5,5,5,,,,,,,,num_4,0.384775999992,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
7,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,6,6,6,,,,,,,,num_3,0.553909999988,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
8,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,7,7,7,,,,,,,,num_3,0.553134999995,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
9,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,8,8,8,,,,,,,,num_7,0.553409200016,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
10,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,9,9,9,,,,,,,,num_7,0.536529200006,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
-1,pic/1.png,huan,['num_1'],,,,,,,,,,,,,0,10,10,10,,,,,,,,num_1,0.568994800007,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
-1,pic/4.png,huan,['num_4'],,,,,,,,,,,,,0,11,11,11,,,,,,,,num_4,0.5197721,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
11,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,12,12,12,,,,,,,,num_2,0.486670200014,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
12,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,13,13,13,,,,,,,,num_2,0.5037954,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
13,pic/2.png,aaa,['num_2'],,,,,,,,,,,,,0,14,14,14,,,,,,,,num_2,0.536994900001,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
14,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,15,15,15,,,,,,,,num_5,0.419609100005,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
15,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,16,16,16,,,,,,,,num_5,0.352736100001,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
16,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,17,17,17,,,,,,,,num_5,0.352297400008,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
17,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,18,18,18,,,,,,,,num_8,0.502919099992,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
18,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,19,19,19,,,,,,,,num_8,0.453062999994,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
19,pic/8.png,aaa,['num_8'],,,,,,,,,,,,,0,20,20,20,,,,,,,,num_8,0.403221399989,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
20,pic/9.png,aaa,['num_9'],,,,,,,,,,,,,0,21,21,21,,,,,,,,num_9,0.569364199997,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
21,pic/9.png,aaa,['num_9'],,,,,,,,,,,,,0,22,22,22,,,,,,,,num_9,0.452537100005,2019_May_07_1400,59.8936528326,click_exp,001,MF1807059,
