no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
15,pic/6.png,baseline,['num_6'],,,,,,,,,0,0,0,14,,,,,num_9,0,0.786305499991,num_9,0.603564099991,num_6,0.840879900003,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
14,pic/5.png,baseline,['num_5'],,,,,,,,,0,1,1,13,,,,,,,,,,num_5,0.451388599991,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
1,pic/1.png,baseline,['num_1'],,,,,,,,,0,2,2,0,,,,,,,,,,num_1,0.669390700001,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
5,pic/5.png,baseline,['num_5'],,,,,,,,,0,3,3,4,,,,,,,,,,num_5,0.48532800001,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
7,pic/7.png,baseline,['num_7'],,,,,,,,,0,4,4,6,,,,,,,,,,num_7,0.635750100017,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
21,pic/3.png,baseline,['num_3'],,,,,,,,,0,5,5,20,,,,,,,,,,num_3,0.753063299984,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
27,pic/9.png,baseline,['num_9'],,,,,,,,,0,6,6,26,,,,,,,,,,num_9,0.702129400015,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
6,pic/6.png,baseline,['num_6'],,,,,,,,,0,7,7,5,,,,,,,,,,num_6,0.621894200012,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
20,pic/2.png,baseline,['num_2'],,,,,,,,,0,8,8,19,,,,,,,,,,num_2,0.652618500026,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
13,pic/4.png,baseline,['num_4'],,,,,,,,,0,9,9,12,,,,,,,,,,num_4,0.804019100004,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
3,pic/3.png,baseline,['num_3'],,,,,,,,,0,10,10,2,,,,,,,,,,num_3,0.801895000011,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,11,11,7,,,,,,,,,,num_8,0.735872000019,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
25,pic/7.png,baseline,['num_7'],,,,,,,,,0,12,12,24,,,,,,,,,,num_7,0.769630499999,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
4,pic/4.png,baseline,['num_4'],,,,,,,,,0,13,13,3,,,,,,,,,,num_4,0.620296499983,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
19,pic/1.png,baseline,['num_1'],,,,,,,,,0,14,14,18,,,,,,,,,,num_1,0.702509299997,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
18,pic/9.png,baseline,['num_9'],,,,,,,,,0,15,15,17,,,,,,,,,,num_9,0.786176099995,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
9,pic/9.png,baseline,['num_9'],,,,,,,,,0,16,16,8,,,,,,,,,,num_9,0.751693600003,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
24,pic/6.png,baseline,['num_6'],,,,,,,,,0,17,17,23,,,,,,,,,,num_6,0.6374794,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
2,pic/2.png,baseline,['num_2'],,,,,,,,,0,18,18,1,,,,,,,,,,num_2,1.06942650001,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
22,pic/4.png,baseline,['num_4'],,,,,,,,,0,19,19,21,,,,,,,,,,num_4,0.535842799989,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
23,pic/5.png,baseline,['num_5'],,,,,,,,,0,20,20,22,,,,,,,,,,num_5,0.402992999996,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
17,pic/8.png,baseline,['num_8'],,,,,,,,,0,21,21,16,,,,,,,,,,num_8,0.601924999995,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
10,pic/1.png,baseline,['num_1'],,,,,,,,,0,22,22,9,,,,,,,,,,num_1,0.806755899976,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
26,pic/8.png,baseline,['num_8'],,,,,,,,,0,23,23,25,,,,,,,,,,num_8,0.534870299976,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
16,pic/7.png,baseline,['num_7'],,,,,,,,,0,24,24,15,,,,,,,,,,num_7,0.786105300009,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
12,pic/3.png,baseline,['num_3'],,,,,,,,,0,25,25,11,,,,,,,,,,num_3,0.919627299998,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
11,pic/2.png,baseline,['num_2'],,,,,,,,,0,26,26,10,,,,,,,,,,num_2,0.969067600003,,,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
1,pic/2.png,aa,['num_2'],,,,,,,,,,,,,0,0,0,0,,,,,,,,num_2,0.679781300016,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
2,pic/2.png,aa,['num_2'],,,,,,,,,,,,,0,1,1,1,,,,,,,,num_2,0.4857127,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
3,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,2,2,2,,,,,,,,num_7,0.869808999996,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
4,pic/7.png,aa,['num_7'],,,,,,,,,,,,,0,3,3,3,,,,,,,,num_7,0.787363699987,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
5,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,4,4,4,,,,,,,,num_3,0.720163699996,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
6,pic/3.png,aa,['num_3'],,,,,,,,,,,,,0,5,5,5,,,,,,,,num_3,0.685663500015,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
7,pic/9.png,aa,['num_9'],,,,,,,,,,,,,0,6,6,6,,,,,,,,num_9,0.735905800015,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
8,pic/9.png,aa,['num_9'],,,,,,,,,,,,,0,7,7,7,,,,,,,,num_9,0.768889700004,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
9,pic/6.png,aa,['num_6'],,,,,,,,,,,,,0,8,8,8,,,,,,,,num_6,0.755117199995,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
10,pic/6.png,aa,['num_6'],,,,,,,,,,,,,0,9,9,9,,,,,,,,num_6,0.368481200014,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
-1,pic/7.png,huan,['num_7'],,,,,,,,,,,,,0,10,10,10,,,,,,,,num_7,0.653125100012,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
-1,pic/9.png,huan,['num_9'],,,,,,,,,,,,,0,11,11,11,,,,,,,,num_9,0.819283899997,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
11,pic/4.png,aaa,['num_4'],,,,,,,,,,,,,0,12,12,12,,,,,,,,num_4,0.652770099987,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
12,pic/4.png,aaa,['num_4'],,,,,,,,,,,,,0,13,13,13,,,,,,,,num_4,0.485732900008,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
13,pic/4.png,aaa,['num_4'],,,,,,,,,,,,,0,14,14,14,,,,,,,,num_4,0.38623080001,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
14,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,15,15,15,,,,,,,,num_6,0.618449500005,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
15,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,16,16,16,,,,,,,,num_6,0.335885100008,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
16,pic/6.png,aaa,['num_6'],,,,,,,,,,,,,0,17,17,17,,,,,,,,num_6,0.385435900011,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
17,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,18,18,18,,,,,,,,num_7,0.619230100012,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
18,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,19,19,19,,,,,,,,num_7,0.61974960001,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
19,pic/7.png,aaa,['num_7'],,,,,,,,,,,,,0,20,20,20,,,,,,,,num_7,0.41904009998,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
20,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,21,21,21,,,,,,,,num_5,0.602665699989,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
21,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,22,22,22,,,,,,,,num_5,0.521450700006,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
22,pic/5.png,aaa,['num_5'],,,,,,,,,,,,,0,23,23,23,,,,,,,,num_5,0.518782600004,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
-1,pic/8.png,huan,['num_8'],,,,,,,,,,,,,0,24,24,24,,,,,,,,num_8,0.636785300012,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
-1,pic/9.png,huan,['num_9'],,,,,,,,,,,,,0,25,25,25,,,,,,,,num_9,0.703240800009,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
23,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,26,26,26,,,,,,,,num_1,0.81915320002,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
24,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,27,27,27,,,,,,,,num_9,0.669596599997,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
25,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,28,28,28,,,,,,,,num_9,0.419596799999,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
26,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,29,29,29,,,,,,,,num_7,0.785956399981,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
27,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,30,30,30,,,,,,,,num_9,0.668738299981,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
28,pic/9.png,abb,['num_9'],,,,,,,,,,,,,0,31,31,31,,,,,,,,num_9,0.369148600003,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
29,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,32,32,32,,,,,,,,num_6,0.753084299999,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
30,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,33,33,33,,,,,,,,num_4,0.470418100012,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
31,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,34,34,34,,,,,,,,num_4,0.454237999977,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
32,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,35,35,35,,,,,,,,num_4,0.402077199979,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
33,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,36,36,36,,,,,,,,num_7,0.986182199995,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
34,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,37,37,37,,,,,,,,num_7,0.619569299975,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
35,pic/4.png,abb,['num_4'],,,,,,,,,,,,,0,38,38,38,,,,,,,,num_4,0.636476399988,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
36,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,39,39,39,,,,,,,,num_3,0.837412099994,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
37,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,40,40,40,,,,,,,,num_3,0.670710300008,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
38,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,41,41,41,,,,,,,,num_7,0.686165599996,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
39,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,42,42,42,,,,,,,,num_1,0.702779199986,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
40,pic/1.png,abb,['num_1'],,,,,,,,,,,,,0,43,43,43,,,,,,,,num_1,0.652533299988,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
41,pic/6.png,abb,['num_6'],,,,,,,,,,,,,0,44,44,44,,,,,,,,num_6,0.535823400016,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
42,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,45,45,45,,,,,,,,num_2,4.13938489999,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
43,pic/2.png,abb,['num_2'],,,,,,,,,,,,,0,46,46,46,,,,,,,,num_2,1.0528829,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
44,pic/3.png,abb,['num_3'],,,,,,,,,,,,,0,47,47,47,,,,,,,,num_3,0.770062600001,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
45,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,48,48,48,,,,,,,,num_7,0.969981100003,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
46,pic/7.png,abb,['num_7'],,,,,,,,,,,,,0,49,49,49,,,,,,,,num_7,0.603454700002,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
-1,pic/9.png,huan,['num_9'],,,,,,,,,,,,,0,50,50,50,,,,,,,,num_9,0.803148200008,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
-1,pic/1.png,huan,['num_1'],,,,,,,,,,,,,0,51,51,51,,,,,,,,num_1,0.819612599997,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
47,pic/2.png,wh,['num_2'],,,,,,,,,,,,,0,52,52,52,,,,,,,,num_2,1.13703329998,2019_May_07_1243,59.9526853434,click_exp,001,MG1806093,
