97.0936 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color='white', colorSpace='named', fullscr=UNKNOWN, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1D6F20F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType=u'pyglet')
97.0937 	EXP 	window1: recordFrameIntervals = False
97.2592 	EXP 	window1: recordFrameIntervals = True
97.4437 	EXP 	window1: recordFrameIntervals = False
97.8409 	EXP 	Created wel_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='wel_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
97.8460 	EXP 	Created image_practice = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_practice', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
97.8717 	EXP 	Created point_prac = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_prac', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
97.9274 	EXP 	Created text_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Consolas', fontFiles=[], height=0.1, italic=False, name='text_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
97.9331 	EXP 	Created huan_point = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='huan_point', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
97.9367 	EXP 	Created image_huan = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_huan', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
97.9427 	EXP 	Created point_base = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_base', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
97.9467 	EXP 	Created image_base = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_base', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
97.9523 	EXP 	Created point_for = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='point_for', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 0.,  0.,  0.]), text='+', units=u'norm', win=Window(...), wrapWidth=1)
97.9565 	EXP 	Created image_for = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image_for', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.45,  0.8 ]), texRes=128, units=u'norm', win=Window(...))
97.9734 	EXP 	wel_text: autoDraw = True
116.8311 	DATA 	Keypress: space
116.8632 	EXP 	Imported pic\prac_click.csv as conditions, 47 conditions, 4 params
116.8654 	EXP 	Created sequence: random, trialTypes=47, nReps=1, seed=None
116.8670 	EXP 	New trial (rep=0, index=0): OrderedDict([('no', 36), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
116.9361 	EXP 	wel_text: autoDraw = False
116.9361 	EXP 	image_practice: image = u'pic/9.png'
116.9361 	EXP 	point_prac: autoDraw = True
117.8804 	EXP 	point_prac: autoDraw = False
118.0014 	EXP 	image_practice: autoDraw = True
119.4346 	DATA 	Keypress: num_9
119.4438 	EXP 	New trial (rep=0, index=1): OrderedDict([('no', 7), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
119.5347 	EXP 	image_practice: autoDraw = False
119.5347 	EXP 	point_prac: autoDraw = False
119.5347 	EXP 	image_practice: image = u'pic/7.png'
119.5347 	EXP 	point_prac: autoDraw = True
120.4488 	EXP 	point_prac: autoDraw = False
120.4662 	EXP 	image_practice: autoDraw = True
121.3519 	DATA 	Keypress: num_7
121.3565 	EXP 	New trial (rep=0, index=2): OrderedDict([('no', 11), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
121.4513 	EXP 	image_practice: autoDraw = False
121.4513 	EXP 	point_prac: autoDraw = False
121.4513 	EXP 	image_practice: image = u'pic/2.png'
121.4513 	EXP 	point_prac: autoDraw = True
122.3678 	EXP 	point_prac: autoDraw = False
122.3845 	EXP 	image_practice: autoDraw = True
123.4875 	DATA 	Keypress: num_2
123.4914 	EXP 	New trial (rep=0, index=3): OrderedDict([('no', 33), ('pic', u'pic/6.png'), ('cla', u'practice'), ('ans', ['num_6'])])
123.5960 	EXP 	image_practice: autoDraw = False
123.5960 	EXP 	point_prac: autoDraw = False
123.5960 	EXP 	image_practice: image = u'pic/6.png'
123.5960 	EXP 	point_prac: autoDraw = True
124.5033 	EXP 	point_prac: autoDraw = False
124.5200 	EXP 	image_practice: autoDraw = True
125.3050 	DATA 	Keypress: num_6
125.3082 	EXP 	New trial (rep=0, index=4): OrderedDict([('no', 25), ('pic', u'pic/7.png'), ('cla', u'practice'), ('ans', ['num_7'])])
125.4037 	EXP 	image_practice: autoDraw = False
125.4037 	EXP 	point_prac: autoDraw = False
125.4037 	EXP 	image_practice: image = u'pic/7.png'
125.4037 	EXP 	point_prac: autoDraw = True
126.3218 	EXP 	point_prac: autoDraw = False
126.3380 	EXP 	image_practice: autoDraw = True
127.4916 	DATA 	Keypress: num_7
127.4962 	EXP 	New trial (rep=0, index=5): OrderedDict([('no', 27), ('pic', u'pic/9.png'), ('cla', u'practice'), ('ans', ['num_9'])])
127.5734 	EXP 	image_practice: autoDraw = False
127.5734 	EXP 	point_prac: autoDraw = False
127.5734 	EXP 	image_practice: image = u'pic/9.png'
127.5734 	EXP 	point_prac: autoDraw = True
128.5086 	EXP 	point_prac: autoDraw = False
128.5246 	EXP 	image_practice: autoDraw = True
129.4605 	DATA 	Keypress: num_9
129.4643 	EXP 	New trial (rep=0, index=6): OrderedDict([('no', 38), ('pic', u'pic/2.png'), ('cla', u'practice'), ('ans', ['num_2'])])
129.5794 	EXP 	image_practice: autoDraw = False
129.5794 	EXP 	point_prac: autoDraw = False
129.5794 	EXP 	image_practice: image = u'pic/2.png'
129.5794 	EXP 	point_prac: autoDraw = True
