no,pic,cla,ans,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_huan.thisRepN,trials_huan.thisTrialN,trials_huan.thisN,trials_huan.thisIndex,trials_baseline.thisRepN,trials_baseline.thisTrialN,trials_baseline.thisN,trials_baseline.thisIndex,trials_formal.thisRepN,trials_formal.thisTrialN,trials_formal.thisN,trials_formal.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_huan.keys,key_resp_huan.rt,key_resp_base.keys,key_resp_base.rt,key_resp_for.keys,key_resp_for.rt,date,frameRate,expName,session,participant,
8,pic/8.png,baseline,['num_8'],,,,,,,,,0,0,0,7,,,,,num_6,0,0.41906070002,num_9,0.501931099978,num_8,0.471258400008,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
20,pic/2.png,baseline,['num_2'],,,,,,,,,0,1,1,19,,,,,,,,,,num_2,0.536423299985,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
19,pic/1.png,baseline,['num_1'],,,,,,,,,0,2,2,18,,,,,,,,,,num_1,0.519503499992,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
21,pic/3.png,baseline,['num_3'],,,,,,,,,0,3,3,20,,,,,,,,,,num_3,0.469857100019,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
22,pic/4.png,baseline,['num_4'],,,,,,,,,0,4,4,21,,,,,,,,,,num_4,0.386842800013,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
26,pic/8.png,baseline,['num_8'],,,,,,,,,0,5,5,25,,,,,,,,,,num_8,0.485683300009,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
18,pic/9.png,baseline,['num_9'],,,,,,,,,0,6,6,17,,,,,,,,,,num_9,0.485858600005,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
7,pic/7.png,baseline,['num_7'],,,,,,,,,0,7,7,6,,,,,,,,,,num_7,0.452913199988,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
12,pic/3.png,baseline,['num_3'],,,,,,,,,0,8,8,11,,,,,,,,,,num_3,0.436344599992,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
3,pic/3.png,baseline,['num_3'],,,,,,,,,0,9,9,2,,,,,,,,,,num_3,0.536191400024,,,2019_May_08_0950,59.7888020319,click_exp,001,mf1733024,
