pic,ans,cla,no
pic/7.png,['num_7'],aa,1
pic/7.png,['num_7'],aa,2
pic/4.png,['num_4'],aa,3
pic/4.png,['num_4'],aa,4
pic/1.png,['num_1'],aa,5
pic/1.png,['num_1'],aa,6
pic/8.png,['num_8'],aa,7
pic/8.png,['num_8'],aa,8
pic/6.png,['num_6'],aa,9
pic/6.png,['num_6'],aa,10
pic/5.png,['num_5'],huan,-1
pic/9.png,['num_9'],huan,-1
pic/4.png,['num_4'],aaa,11
pic/4.png,['num_4'],aaa,12
pic/4.png,['num_4'],aaa,13
pic/5.png,['num_5'],aaa,14
pic/5.png,['num_5'],aaa,15
pic/5.png,['num_5'],aaa,16
pic/3.png,['num_3'],aaa,17
pic/3.png,['num_3'],aaa,18
pic/3.png,['num_3'],aaa,19
pic/6.png,['num_6'],aaa,20
pic/6.png,['num_6'],aaa,21
pic/6.png,['num_6'],aaa,22
pic/5.png,['num_5'],huan,-1
pic/9.png,['num_9'],huan,-1
pic/2.png,['num_2'],abb,23
pic/5.png,['num_5'],abb,24
pic/5.png,['num_5'],abb,25
pic/6.png,['num_6'],abb,26
pic/1.png,['num_1'],abb,27
pic/1.png,['num_1'],abb,28
pic/4.png,['num_4'],abb,29
pic/1.png,['num_1'],abb,30
pic/1.png,['num_1'],abb,31
pic/2.png,['num_2'],abb,32
pic/7.png,['num_7'],abb,33
pic/7.png,['num_7'],abb,34
pic/9.png,['num_9'],abb,35
pic/7.png,['num_7'],abb,36
pic/7.png,['num_7'],abb,37
pic/7.png,['num_7'],abb,38
pic/2.png,['num_2'],abb,39
pic/2.png,['num_2'],abb,40
pic/1.png,['num_1'],abb,41
pic/2.png,['num_2'],abb,42
pic/2.png,['num_2'],abb,43
pic/6.png,['num_6'],abb,44
pic/2.png,['num_2'],abb,45
pic/2.png,['num_2'],abb,46
pic/3.png,['num_3'],huan,-1
pic/5.png,['num_5'],huan,-1
pic/1.png,['num_1'],wh,47
pic/2.png,['num_2'],wh,48
pic/3.png,['num_3'],wh,49
pic/1.png,['num_1'],wh,50
pic/4.png,['num_4'],wh,51
pic/7.png,['num_7'],wh,52
pic/7.png,['num_7'],wh,53
pic/8.png,['num_8'],wh,54
pic/9.png,['num_9'],wh,55
pic/1.png,['num_1'],wh,56
pic/2.png,['num_2'],wh,57
pic/3.png,['num_3'],wh,58
pic/1.png,['num_1'],cross,59
pic/5.png,['num_5'],cross,60
pic/9.png,['num_9'],cross,61
pic/7.png,['num_7'],cross,62
pic/5.png,['num_5'],cross,63
pic/3.png,['num_3'],cross,64
pic/1.png,['num_1'],cross,65
pic/5.png,['num_5'],cross,66
pic/9.png,['num_9'],cross,67
pic/7.png,['num_7'],cross,68
pic/5.png,['num_5'],cross,69
pic/3.png,['num_3'],cross,70
pic/5.png,['num_5'],huan,-1
pic/7.png,['num_7'],huan,-1
pic/3.png,['num_3'],abc3,71
pic/4.png,['num_4'],abc3,72
pic/8.png,['num_8'],abc3,73
pic/3.png,['num_3'],abc3,74
pic/4.png,['num_4'],abc3,75
pic/8.png,['num_8'],abc3,76
pic/3.png,['num_3'],abc3,77
pic/4.png,['num_4'],abc3,78
pic/8.png,['num_8'],abc3,79
pic/6.png,['num_6'],abc3,80
pic/2.png,['num_2'],abc3,81
pic/9.png,['num_9'],abc3,82
pic/6.png,['num_6'],abc3,83
pic/2.png,['num_2'],abc3,84
pic/9.png,['num_9'],abc3,85
pic/6.png,['num_6'],abc3,86
pic/2.png,['num_2'],abc3,87
pic/9.png,['num_9'],abc3,88
pic/4.png,['num_4'],abc3,89
pic/3.png,['num_3'],abc3,90
pic/2.png,['num_2'],abc3,91
pic/4.png,['num_4'],abc3,92
pic/3.png,['num_3'],abc3,93
pic/2.png,['num_2'],abc3,94
pic/4.png,['num_4'],abc3,95
pic/3.png,['num_3'],abc3,96
pic/2.png,['num_2'],abc3,97
