no,pic,cla,ans
1,pic/1.png,practice,['num_1']
2,pic/2.png,practice,['num_2']
3,pic/3.png,practice,['num_3']
4,pic/4.png,practice,['num_4']
5,pic/5.png,practice,['num_5']
6,pic/6.png,practice,['num_6']
7,pic/7.png,practice,['num_7']
8,pic/8.png,practice,['num_8']
9,pic/9.png,practice,['num_9']
10,pic/1.png,practice,['num_1']
11,pic/2.png,practice,['num_2']
12,pic/3.png,practice,['num_3']
13,pic/4.png,practice,['num_4']
14,pic/5.png,practice,['num_5']
15,pic/6.png,practice,['num_6']
16,pic/7.png,practice,['num_7']
17,pic/8.png,practice,['num_8']
18,pic/9.png,practice,['num_9']
19,pic/1.png,practice,['num_1']
20,pic/2.png,practice,['num_2']
21,pic/3.png,practice,['num_3']
22,pic/4.png,practice,['num_4']
23,pic/5.png,practice,['num_5']
24,pic/6.png,practice,['num_6']
25,pic/7.png,practice,['num_7']
26,pic/8.png,practice,['num_8']
27,pic/9.png,practice,['num_9']
28,pic/1.png,practice,['num_1']
29,pic/2.png,practice,['num_2']
30,pic/3.png,practice,['num_3']
31,pic/4.png,practice,['num_4']
32,pic/5.png,practice,['num_5']
33,pic/6.png,practice,['num_6']
34,pic/7.png,practice,['num_7']
35,pic/8.png,practice,['num_8']
36,pic/9.png,practice,['num_9']
37,pic/1.png,practice,['num_1']
38,pic/2.png,practice,['num_2']
39,pic/3.png,practice,['num_3']
40,pic/4.png,practice,['num_4']
41,pic/5.png,practice,['num_5']
42,pic/6.png,practice,['num_6']
43,pic/7.png,practice,['num_7']
44,pic/8.png,practice,['num_8']
45,pic/9.png,practice,['num_9']
46,pic/8.png,practice,['num_8']
47,pic/2.png,practice,['num_2']
