pic,ans,cla,no
pic/4.png,['4'],aa,1
pic/4.png,['4'],aa,2
pic/8.png,['8'],aa,3
pic/8.png,['8'],aa,4
pic/7.png,['7'],aa,5
pic/7.png,['7'],aa,6
pic/7.png,['7'],aa,7
pic/7.png,['7'],aa,8
pic/6.png,['6'],aa,9
pic/6.png,['6'],aa,10
pic/3.png,['3'],huan,11
pic/2.png,['2'],huan,12
pic/6.png,['6'],aaa,13
pic/6.png,['6'],aaa,14
pic/6.png,['6'],aaa,15
pic/2.png,['2'],aaa,16
pic/2.png,['2'],aaa,17
pic/2.png,['2'],aaa,18
pic/9.png,['9'],aaa,19
pic/9.png,['9'],aaa,20
pic/9.png,['9'],aaa,21
pic/3.png,['3'],aaa,22
pic/3.png,['3'],aaa,23
pic/3.png,['3'],aaa,24
pic/2.png,['2'],huan,25
pic/5.png,['5'],huan,26
pic/2.png,['2'],abb,27
pic/7.png,['7'],abb,28
pic/7.png,['7'],abb,29
pic/2.png,['2'],abb,30
pic/9.png,['9'],abb,31
pic/9.png,['9'],abb,32
pic/7.png,['7'],abb,33
pic/2.png,['2'],abb,34
pic/2.png,['2'],abb,35
pic/1.png,['1'],abb,36
pic/6.png,['6'],abb,37
pic/6.png,['6'],abb,38
pic/7.png,['7'],abb,39
pic/9.png,['9'],abb,40
pic/9.png,['9'],abb,41
pic/3.png,['3'],abb,42
pic/6.png,['6'],abb,43
pic/6.png,['6'],abb,44
pic/7.png,['7'],abb,45
pic/9.png,['9'],abb,46
pic/9.png,['9'],abb,47
pic/2.png,['2'],abb,48
pic/5.png,['5'],abb,49
pic/5.png,['5'],abb,50
pic/2.png,['2'],huan,51
pic/7.png,['7'],huan,52
pic/7.png,['7'],wh,53
pic/8.png,['8'],wh,54
pic/9.png,['9'],wh,55
pic/1.png,['1'],wh,56
pic/4.png,['4'],wh,57
pic/7.png,['7'],wh,58
pic/2.png,['2'],wh,59
pic/5.png,['5'],wh,60
pic/8.png,['8'],wh,61
pic/3.png,['3'],wh,62
pic/6.png,['6'],wh,63
pic/9.png,['9'],wh,64
pic/3.png,['3'],cross,65
pic/5.png,['5'],cross,66
pic/7.png,['7'],cross,67
pic/1.png,['1'],cross,68
pic/5.png,['5'],cross,69
pic/9.png,['9'],cross,70
pic/3.png,['3'],cross,71
pic/5.png,['5'],cross,72
pic/7.png,['7'],cross,73
pic/3.png,['3'],cross,74
pic/5.png,['5'],cross,75
pic/7.png,['7'],cross,76
pic/3.png,['3'],huan,77
pic/1.png,['1'],huan,78
pic/4.png,['4'],abc3,79
pic/1.png,['1'],abc3,80
pic/7.png,['7'],abc3,81
pic/4.png,['4'],abc3,82
pic/1.png,['1'],abc3,83
pic/7.png,['7'],abc3,84
pic/4.png,['4'],abc3,85
pic/1.png,['1'],abc3,86
pic/7.png,['7'],abc3,87
pic/4.png,['4'],abc3,88
pic/9.png,['9'],abc3,89
pic/3.png,['3'],abc3,90
pic/4.png,['4'],abc3,91
pic/9.png,['9'],abc3,92
pic/3.png,['3'],abc3,93
pic/4.png,['4'],abc3,94
pic/9.png,['9'],abc3,95
pic/3.png,['3'],abc3,96
pic/4.png,['4'],abc3,97
pic/6.png,['6'],abc3,98
pic/8.png,['8'],abc3,99
pic/4.png,['4'],abc3,100
pic/6.png,['6'],abc3,101
pic/8.png,['8'],abc3,102
pic/4.png,['4'],abc3,103
pic/6.png,['6'],abc3,104
pic/8.png,['8'],abc3,105
